-0.0493536,-0.0177512,0.114249,-0.0493448,-0.0177053,0.114271
-0.0987072,-0.0355024,0.128497,-0.0986792,-0.0353125,0.128543
-0.148061,-0.0532536,0.142746,-0.148013,-0.0528146,0.142802
-0.197414,-0.0710048,0.156995,-0.197284,-0.0700353,0.157086
-0.246768,-0.088756,0.171243,-0.246517,-0.086971,0.171393
-0.296122,-0.106507,0.185492,-0.295679,-0.103302,0.185654
-0.345475,-0.124258,0.19974,-0.344828,-0.119443,0.199933
-0.394829,-0.14201,0.213989,-0.393941,-0.135174,0.214343
-0.444182,-0.159761,0.228238,-0.44299,-0.150257,0.229022
-0.493536,-0.177512,0.242486,-0.491966,-0.164552,0.243763
-0.54289,-0.195263,0.256735,-0.541016,-0.179201,0.258709
-0.592243,-0.213014,0.270984,-0.59017,-0.19468,0.273919
-0.641597,-0.230766,0.285232,-0.639421,-0.210108,0.289032
-0.69095,-0.248517,0.299481,-0.688863,-0.227436,0.303735
-0.740304,-0.266268,0.31373,-0.738362,-0.244739,0.3184
-0.789658,-0.284019,0.327978,-0.787917,-0.263804,0.332741
-0.839011,-0.30177,0.342227,-0.837609,-0.28345,0.346774
-0.888365,-0.319522,0.356476,-0.887302,-0.30314,0.360509
-0.937718,-0.337273,0.370724,-0.936816,-0.322377,0.374628
-0.987072,-0.355024,0.384973,-0.986401,-0.342781,0.388796
-1.03643,-0.372775,0.399221,-1.03593,-0.363464,0.401937
-1.08578,-0.390526,0.41347,-1.08527,-0.383187,0.414744
-1.13513,-0.408278,0.427719,-1.13488,-0.404508,0.428158
-1.18449,-0.426029,0.441967,-1.18435,-0.424909,0.442676
-1.23384,-0.44378,0.456216,-1.23386,-0.445404,0.455642
-1.28303,-0.490831,0.425011,-1.28299,-0.491529,0.425144
-1.33222,-0.537881,0.393805,-1.3324,-0.537028,0.394617
-1.38141,-0.584932,0.3626,-1.38159,-0.584156,0.364723
-1.4306,-0.631983,0.331395,-1.43094,-0.630996,0.333645
-1.47979,-0.679034,0.300189,-1.48057,-0.676428,0.302814
-1.52898,-0.726084,0.268984,-1.53008,-0.722573,0.272063
-1.57817,-0.773135,0.237778,-1.5794,-0.769992,0.2415
-1.62737,-0.820186,0.206573,-1.6288,-0.817015,0.210844
-1.67656,-0.867236,0.175368,-1.67773,-0.86376,0.179407
-1.72575,-0.914287,0.144162,-1.72704,-0.910314,0.148356
-1.77494,-0.961338,0.112957,-1.77611,-0.957683,0.115908
-1.82413,-1.00839,0.0817515,-1.82518,-1.00517,0.0845894
-1.87332,-1.05544,0.0505462,-1.87435,-1.05276,0.052827
-1.92251,-1.10249,0.0193408,-1.92338,-1.10105,0.0205505
-1.89571,-1.15169,0.068272,-1.89691,-1.14952,0.069607
-1.86892,-1.2009,0.117203,-1.87058,-1.19726,0.117645
-1.84212,-1.2501,0.166134,-1.84523,-1.2455,0.166574
-1.81532,-1.2993,0.215066,-1.81874,-1.29444,0.215627
-1.78853,-1.34851,0.263997,-1.79338,-1.34311,0.263553
-1.76173,-1.39771,0.312928,-1.7679,-1.39189,0.31211
-1.73493,-1.44691,0.361859,-1.74034,-1.44158,0.358793
-1.70814,-1.49611,0.41079,-1.71432,-1.49012,0.40728
-1.68134,-1.54532,0.459721,-1.6883,-1.53887,0.45427
-1.65454,-1.59452,0.508653,-1.66112,-1.58863,0.500151
-1.62775,-1.64372,0.557584,-1.63338,-1.63754,0.548165
